family_id,assigned_day
0,64
1,26
2,100
3,2
4,53
5,32
6,57
7,25
8,18
9,1
10,57
11,19
12,98
13,54
14,45
15,22
16,46
17,79
18,75
19,7
20,3
21,56
22,61
23,19
24,75
25,16
26,58
27,38
28,81
29,89
30,68
31,74
32,91
33,32
34,15
35,98
36,47
37,15
38,13
39,10
40,25
41,31
42,81
43,11
44,49
45,5
46,15
47,45
48,79
49,55
50,67
51,28
52,33
53,37
54,70
55,91
56,12
57,31
58,74
59,39
60,98
61,18
62,39
63,73
64,3
65,20
66,1
67,94
68,85
69,5
70,32
71,11
72,66
73,52
74,82
75,53
76,79
77,20
78,52
79,37
80,18
81,17
82,99
83,88
84,9
85,28
86,29
87,25
88,57
89,23
90,54
91,17
92,85
93,5
94,47
95,24
96,77
97,57
98,3
99,39
100,39
101,53
102,31
103,68
104,47
105,12
106,34
107,12
108,34
109,17
110,67
111,64
112,60
113,18
114,15
115,22
116,77
117,94
118,69
119,4
120,56
121,55
122,24
123,95
124,14
125,58
126,3
127,2
128,56
129,43
130,16
131,81
132,76
133,54
134,18
135,5
136,88
137,82
138,2
139,89
140,61
141,89
142,26
143,38
144,28
145,18
146,64
147,28
148,63
149,61
150,72
151,95
152,88
153,3
154,61
155,100
156,95
157,87
158,13
159,3
160,28
161,47
162,68
163,84
164,21
165,1
166,14
167,93
168,19
169,84
170,12
171,24
172,21
173,68
174,94
175,17
176,52
177,74
178,80
179,26
180,40
181,7
182,94
183,34
184,47
185,80
186,50
187,43
188,10
189,51
190,9
191,54
192,77
193,35
194,65
195,55
196,26
197,44
198,90
199,51
200,26
201,35
202,23
203,38
204,67
205,26
206,28
207,47
208,10
209,9
210,23
211,67
212,35
213,77
214,31
215,1
216,43
217,5
218,38
219,97
220,24
221,17
222,36
223,60
224,84
225,61
226,46
227,49
228,87
229,48
230,57
231,48
232,51
233,92
234,82
235,53
236,37
237,54
238,62
239,14
240,33
241,60
242,60
243,89
244,39
245,76
246,50
247,66
248,33
249,75
250,7
251,97
252,92
253,84
254,18
255,12
256,93
257,74
258,92
259,100
260,37
261,67
262,35
263,48
264,20
265,11
266,32
267,18
268,79
269,30
270,67
271,73
272,43
273,38
274,8
275,15
276,79
277,3
278,78
279,38
280,89
281,22
282,89
283,73
284,20
285,66
286,22
287,47
288,63
289,66
290,56
291,80
292,100
293,67
294,46
295,10
296,50
297,48
298,50
299,32
300,72
301,45
302,4
303,27
304,86
305,58
306,2
307,86
308,35
309,96
310,89
311,72
312,43
313,37
314,57
315,45
316,53
317,63
318,49
319,10
320,7
321,1
322,82
323,48
324,55
325,3
326,77
327,64
328,66
329,19
330,93
331,64
332,10
333,23
334,22
335,68
336,89
337,24
338,74
339,45
340,1
341,58
342,54
343,89
344,23
345,96
346,24
347,59
348,94
349,19
350,96
351,27
352,93
353,25
354,87
355,86
356,51
357,55
358,88
359,90
360,55
361,87
362,81
363,12
364,99
365,79
366,3
367,53
368,70
369,72
370,13
371,26
372,98
373,61
374,75
375,6
376,26
377,82
378,25
379,4
380,69
381,27
382,48
383,12
384,73
385,29
386,66
387,57
388,80
389,54
390,40
391,75
392,60
393,36
394,11
395,8
396,86
397,52
398,37
399,5
400,98
401,52
402,63
403,64
404,48
405,78
406,3
407,68
408,21
409,81
410,81
411,1
412,55
413,80
414,77
415,79
416,57
417,74
418,42
419,26
420,60
421,87
422,83
423,74
424,92
425,30
426,33
427,24
428,85
429,2
430,66
431,12
432,45
433,61
434,62
435,31
436,11
437,64
438,25
439,92
440,39
441,33
442,29
443,14
444,26
445,74
446,27
447,19
448,82
449,18
450,60
451,33
452,87
453,83
454,11
455,3
456,94
457,70
458,79
459,22
460,30
461,27
462,80
463,71
464,46
465,46
466,36
467,3
468,54
469,93
470,17
471,79
472,59
473,56
474,22
475,33
476,54
477,96
478,7
479,34
480,78
481,13
482,30
483,78
484,88
485,30
486,62
487,26
488,40
489,16
490,28
491,73
492,95
493,16
494,95
495,56
496,63
497,16
498,45
499,46
500,27
501,21
502,56
503,22
504,75
505,16
506,42
507,13
508,35
509,37
510,82
511,43
512,58
513,64
514,3
515,14
516,42
517,60
518,18
519,63
520,48
521,65
522,32
523,4
524,74
525,98
526,59
527,16
528,68
529,25
530,61
531,45
532,56
533,26
534,14
535,72
536,91
537,23
538,83
539,9
540,31
541,86
542,22
543,53
544,12
545,81
546,80
547,60
548,88
549,44
550,73
551,3
552,35
553,45
554,53
555,10
556,26
557,94
558,18
559,47
560,18
561,20
562,27
563,47
564,82
565,91
566,45
567,76
568,80
569,25
570,16
571,98
572,62
573,77
574,88
575,94
576,70
577,6
578,18
579,11
580,49
581,42
582,20
583,35
584,77
585,3
586,78
587,40
588,51
589,93
590,97
591,55
592,40
593,23
594,61
595,34
596,88
597,9
598,47
599,43
600,15
601,2
602,81
603,58
604,15
605,12
606,12
607,81
608,94
609,94
610,51
611,70
612,10
613,96
614,61
615,58
616,44
617,100
618,2
619,42
620,52
621,85
622,99
623,75
624,78
625,51
626,96
627,3
628,23
629,62
630,95
631,75
632,29
633,10
634,24
635,30
636,80
637,40
638,26
639,30
640,43
641,81
642,73
643,12
644,18
645,98
646,48
647,57
648,77
649,65
650,47
651,46
652,16
653,95
654,10
655,73
656,68
657,48
658,35
659,69
660,91
661,31
662,64
663,6
664,24
665,60
666,48
667,81
668,34
669,61
670,18
671,65
672,44
673,6
674,76
675,64
676,4
677,83
678,32
679,23
680,27
681,61
682,15
683,40
684,41
685,55
686,83
687,51
688,88
689,67
690,38
691,8
692,13
693,8
694,96
695,8
696,46
697,85
698,10
699,35
700,14
701,8
702,7
703,66
704,77
705,14
706,95
707,83
708,46
709,39
710,39
711,79
712,36
713,25
714,55
715,33
716,49
717,66
718,31
719,76
720,53
721,45
722,19
723,92
724,81
725,69
726,18
727,98
728,10
729,32
730,20
731,68
732,92
733,1
734,8
735,86
736,80
737,68
738,87
739,65
740,61
741,81
742,99
743,65
744,41
745,25
746,60
747,39
748,46
749,65
750,96
751,71
752,36
753,30
754,36
755,54
756,76
757,73
758,22
759,97
760,23
761,48
762,76
763,17
764,49
765,32
766,16
767,82
768,87
769,94
770,93
771,91
772,62
773,2
774,6
775,99
776,70
777,46
778,3
779,67
780,77
781,9
782,67
783,52
784,80
785,73
786,96
787,6
788,19
789,1
790,59
791,5
792,88
793,100
794,99
795,76
796,49
797,1
798,45
799,68
800,57
801,87
802,3
803,19
804,57
805,49
806,49
807,31
808,52
809,2
810,69
811,75
812,95
813,53
814,27
815,88
816,54
817,53
818,56
819,61
820,71
821,36
822,34
823,35
824,8
825,89
826,28
827,71
828,80
829,70
830,36
831,8
832,41
833,20
834,56
835,17
836,31
837,87
838,97
839,66
840,24
841,10
842,69
843,90
844,81
845,73
846,47
847,95
848,39
849,50
850,19
851,13
852,31
853,55
854,14
855,51
856,78
857,95
858,60
859,83
860,55
861,57
862,85
863,82
864,4
865,19
866,24
867,3
868,33
869,11
870,53
871,94
872,81
873,57
874,23
875,72
876,97
877,49
878,4
879,65
880,53
881,41
882,77
883,82
884,42
885,6
886,81
887,83
888,25
889,99
890,65
891,95
892,17
893,63
894,78
895,11
896,29
897,67
898,26
899,81
900,73
901,7
902,99
903,19
904,82
905,5
906,100
907,34
908,95
909,52
910,70
911,10
912,91
913,59
914,97
915,55
916,81
917,60
918,11
919,68
920,35
921,57
922,95
923,51
924,43
925,71
926,33
927,74
928,57
929,18
930,2
931,35
932,4
933,84
934,38
935,26
936,31
937,57
938,46
939,37
940,31
941,23
942,57
943,82
944,87
945,74
946,72
947,28
948,38
949,86
950,20
951,88
952,54
953,46
954,55
955,63
956,66
957,16
958,48
959,42
960,50
961,53
962,44
963,33
964,75
965,61
966,6
967,40
968,2
969,86
970,97
971,5
972,90
973,82
974,44
975,61
976,41
977,7
978,59
979,4
980,38
981,24
982,14
983,96
984,2
985,44
986,78
987,87
988,86
989,1
990,50
991,69
992,54
993,46
994,63
995,35
996,57
997,50
998,18
999,80
1000,25
1001,25
1002,46
1003,29
1004,45
1005,31
1006,95
1007,12
1008,79
1009,75
1010,99
1011,50
1012,67
1013,24
1014,52
1015,1
1016,17
1017,5
1018,16
1019,75
1020,60
1021,75
1022,100
1023,78
1024,24
1025,71
1026,18
1027,54
1028,13
1029,41
1030,83
1031,94
1032,5
1033,52
1034,17
1035,40
1036,7
1037,66
1038,94
1039,73
1040,23
1041,96
1042,15
1043,16
1044,68
1045,73
1046,13
1047,15
1048,17
1049,14
1050,90
1051,59
1052,33
1053,84
1054,98
1055,81
1056,55
1057,17
1058,98
1059,40
1060,23
1061,65
1062,99
1063,25
1064,75
1065,77
1066,2
1067,70
1068,70
1069,25
1070,49
1071,94
1072,59
1073,32
1074,54
1075,79
1076,27
1077,14
1078,54
1079,100
1080,18
1081,25
1082,80
1083,57
1084,62
1085,31
1086,20
1087,22
1088,88
1089,57
1090,91
1091,56
1092,62
1093,67
1094,62
1095,19
1096,26
1097,55
1098,16
1099,34
1100,67
1101,68
1102,62
1103,62
1104,3
1105,45
1106,3
1107,75
1108,53
1109,5
1110,90
1111,100
1112,67
1113,62
1114,11
1115,31
1116,74
1117,7
1118,73
1119,34
1120,33
1121,97
1122,64
1123,26
1124,84
1125,23
1126,21
1127,71
1128,14
1129,79
1130,12
1131,24
1132,46
1133,3
1134,59
1135,100
1136,97
1137,3
1138,74
1139,42
1140,52
1141,71
1142,3
1143,60
1144,3
1145,53
1146,77
1147,62
1148,26
1149,59
1150,23
1151,45
1152,76
1153,77
1154,88
1155,75
1156,96
1157,15
1158,39
1159,17
1160,76
1161,60
1162,90
1163,18
1164,46
1165,79
1166,36
1167,61
1168,90
1169,1
1170,16
1171,55
1172,2
1173,88
1174,40
1175,60
1176,54
1177,13
1178,32
1179,69
1180,11
1181,56
1182,11
1183,90
1184,92
1185,52
1186,2
1187,69
1188,82
1189,94
1190,4
1191,75
1192,7
1193,76
1194,47
1195,43
1196,67
1197,5
1198,50
1199,16
1200,16
1201,11
1202,53
1203,100
1204,25
1205,9
1206,33
1207,26
1208,43
1209,74
1210,53
1211,49
1212,88
1213,50
1214,3
1215,94
1216,91
1217,41
1218,64
1219,39
1220,54
1221,1
1222,76
1223,58
1224,8
1225,25
1226,10
1227,22
1228,70
1229,21
1230,73
1231,87
1232,67
1233,71
1234,52
1235,65
1236,82
1237,43
1238,96
1239,50
1240,71
1241,60
1242,14
1243,58
1244,94
1245,10
1246,2
1247,81
1248,39
1249,39
1250,38
1251,29
1252,4
1253,72
1254,37
1255,93
1256,10
1257,88
1258,53
1259,70
1260,86
1261,68
1262,16
1263,91
1264,24
1265,83
1266,37
1267,23
1268,35
1269,66
1270,54
1271,95
1272,89
1273,27
1274,87
1275,5
1276,7
1277,49
1278,82
1279,57
1280,9
1281,76
1282,81
1283,29
1284,2
1285,70
1286,97
1287,11
1288,3
1289,39
1290,77
1291,34
1292,35
1293,62
1294,75
1295,93
1296,3
1297,96
1298,31
1299,11
1300,40
1301,9
1302,27
1303,80
1304,54
1305,5
1306,52
1307,60
1308,58
1309,57
1310,55
1311,60
1312,72
1313,88
1314,26
1315,2
1316,89
1317,57
1318,28
1319,43
1320,88
1321,19
1322,52
1323,96
1324,80
1325,23
1326,25
1327,14
1328,53
1329,5
1330,90
1331,92
1332,82
1333,53
1334,55
1335,89
1336,43
1337,78
1338,85
1339,77
1340,23
1341,63
1342,88
1343,34
1344,19
1345,67
1346,28
1347,20
1348,30
1349,50
1350,19
1351,65
1352,33
1353,76
1354,14
1355,54
1356,49
1357,82
1358,38
1359,16
1360,98
1361,98
1362,83
1363,99
1364,41
1365,91
1366,14
1367,2
1368,7
1369,87
1370,43
1371,85
1372,75
1373,3
1374,4
1375,63
1376,94
1377,18
1378,73
1379,23
1380,80
1381,43
1382,3
1383,40
1384,59
1385,71
1386,29
1387,5
1388,63
1389,74
1390,42
1391,74
1392,53
1393,29
1394,99
1395,100
1396,90
1397,2
1398,73
1399,59
1400,22
1401,53
1402,59
1403,23
1404,27
1405,53
1406,90
1407,44
1408,67
1409,95
1410,53
1411,54
1412,86
1413,86
1414,48
1415,18
1416,80
1417,77
1418,42
1419,9
1420,59
1421,23
1422,91
1423,2
1424,99
1425,80
1426,43
1427,70
1428,32
1429,31
1430,20
1431,49
1432,28
1433,100
1434,16
1435,68
1436,49
1437,47
1438,7
1439,69
1440,23
1441,17
1442,12
1443,10
1444,81
1445,46
1446,7
1447,11
1448,74
1449,51
1450,66
1451,50
1452,28
1453,81
1454,25
1455,58
1456,24
1457,88
1458,20
1459,28
1460,2
1461,58
1462,15
1463,96
1464,59
1465,65
1466,64
1467,20
1468,100
1469,88
1470,33
1471,48
1472,94
1473,49
1474,19
1475,94
1476,69
1477,97
1478,65
1479,88
1480,23
1481,80
1482,71
1483,85
1484,73
1485,67
1486,99
1487,74
1488,54
1489,40
1490,62
1491,97
1492,41
1493,41
1494,46
1495,81
1496,49
1497,20
1498,96
1499,88
1500,100
1501,63
1502,84
1503,14
1504,17
1505,66
1506,19
1507,18
1508,88
1509,32
1510,97
1511,28
1512,48
1513,40
1514,95
1515,1
1516,4
1517,8
1518,27
1519,92
1520,48
1521,20
1522,84
1523,33
1524,9
1525,72
1526,89
1527,47
1528,29
1529,46
1530,33
1531,26
1532,42
1533,99
1534,52
1535,18
1536,54
1537,49
1538,16
1539,6
1540,99
1541,15
1542,22
1543,16
1544,69
1545,80
1546,52
1547,47
1548,59
1549,85
1550,75
