family_id,assigned_day
0,52
1,82
2,100
3,2
4,53
5,32
6,36
7,25
8,18
9,88
10,96
11,75
12,98
13,83
14,45
15,22
16,46
17,47
18,75
19,97
20,3
21,56
22,61
23,19
24,75
25,16
26,58
27,65
28,81
29,89
30,68
31,74
32,24
33,96
34,46
35,31
36,47
37,15
38,13
39,10
40,25
41,92
42,81
43,11
44,49
45,5
46,15
47,26
48,32
49,33
50,67
51,28
52,76
53,37
54,70
55,91
56,84
57,95
58,74
59,15
60,98
61,18
62,1
63,31
64,3
65,47
66,1
67,94
68,89
69,5
70,32
71,11
72,66
73,10
74,82
75,53
76,46
77,20
78,52
79,37
80,47
81,17
82,32
83,88
84,9
85,54
86,29
87,25
88,57
89,23
90,54
91,54
92,85
93,5
94,73
95,24
96,75
97,96
98,3
99,39
100,39
101,77
102,31
103,68
104,85
105,22
106,34
107,41
108,34
109,17
110,70
111,68
112,60
113,18
114,15
115,22
116,77
117,94
118,69
119,19
120,56
121,17
122,24
123,95
124,14
125,47
126,3
127,2
128,56
129,79
130,16
131,11
132,76
133,20
134,18
135,5
136,88
137,82
138,59
139,89
140,61
141,89
142,26
143,38
144,28
145,18
146,64
147,28
148,63
149,61
150,60
151,30
152,88
153,3
154,25
155,100
156,95
157,87
158,13
159,45
160,40
161,47
162,86
163,84
164,18
165,97
166,14
167,86
168,19
169,84
170,12
171,24
172,21
173,68
174,94
175,17
176,52
177,74
178,80
179,26
180,40
181,7
182,94
183,17
184,4
185,80
186,50
187,43
188,10
189,1
190,9
191,54
192,77
193,35
194,95
195,55
196,26
197,72
198,81
199,51
200,83
201,47
202,23
203,38
204,67
205,99
206,28
207,47
208,95
209,9
210,23
211,9
212,35
213,77
214,31
215,99
216,43
217,5
218,38
219,68
220,24
221,94
222,36
223,60
224,4
225,61
226,59
227,49
228,87
229,48
230,57
231,48
232,47
233,87
234,82
235,98
236,37
237,3
238,48
239,14
240,33
241,60
242,60
243,89
244,35
245,4
246,50
247,96
248,33
249,75
250,7
251,75
252,64
253,84
254,18
255,12
256,93
257,74
258,92
259,60
260,37
261,67
262,32
263,48
264,20
265,11
266,32
267,18
268,79
269,30
270,67
271,73
272,43
273,38
274,8
275,15
276,32
277,3
278,54
279,38
280,89
281,22
282,17
283,73
284,20
285,66
286,54
287,95
288,63
289,30
290,25
291,80
292,100
293,23
294,46
295,85
296,50
297,48
298,19
299,32
300,52
301,45
302,4
303,27
304,86
305,58
306,2
307,32
308,47
309,19
310,89
311,72
312,43
313,93
314,39
315,45
316,53
317,79
318,49
319,10
320,7
321,56
322,71
323,48
324,55
325,20
326,26
327,46
328,10
329,41
330,82
331,17
332,82
333,23
334,22
335,68
336,89
337,90
338,74
339,45
340,13
341,58
342,54
343,89
344,23
345,66
346,24
347,59
348,5
349,36
350,74
